name,description,image,value_Background,trait_type_Body,value_Body,trait_type_Eyes,value_Eyes,trait_type_Goggle Lens,value_Goggle Lens,trait_type_Mouth,value_Mouth,trait_type_Collar,value_Collar,trait_type_Collar Lights,value_Collar Lights,trait_type_Headwear,value_Headwear,trait_type_Accessory,value_Accessory
Glitch Paw #1: One Vision,A unique Glitch Paw with a singular,captivating gaze into the digital realm.,Background,Dark Purple,Body,Teal Cat,Eyes,Cyclops Goggles,Goggle Lens,Glitchy Pink & Blue,Mouth,Open Fangs,Collar,Tech Collar,Collar Lights,Teal,,,
Glitch Paw #2: Purple Gaze,A calm Glitch Paw dog enveloped in a cool purple glow,observing the digital currents.,Background,Dark Purple,Body,Purple Dog,Eyes,VR Goggles,Goggle Lens,Glitchy Red & Blue,Mouth,Closed Smile,Collar,Tech Collar,Collar Lights,Blue & Pink,,,
Glitch Paw #3: Golden Gaze,A golden Glitch Paw cat with a sharp,singular stare,3.jpg,Background,Dark Black,Body,Golden Cat,Eyes,Cyclops Goggles,Goggle Lens,Glitchy Pink & Blue,Mouth,Open Fangs,Collar,Tech Collar,Collar Lights,Teal & Pink,,
Glitch Paw #4: Crimson Smile,A crimson Glitch Paw cat with a wide smile,exploring the digital dimensions.,Background,Dark Purple,Body,Crimson Cat,Eyes,VR Goggles,Goggle Lens,Glitchy Blue & Pink,Mouth,Wide Smile Fangs,Collar,Tech Collar,Collar Lights,Blue,,,
Glitch Paw #5: Green Stare,A green Glitch Paw dog with a serious single gaze,watching beyond the digital world.,Background,Dark Black,Body,Green Dog,Eyes,Cyclops Goggles,Goggle Lens,Glitchy Pink & Blue,Mouth,Closed Mouth,Collar,Tech Collar,Collar Lights,Pink,,,
Glitch Paw #6: Neon Grin,A vibrant green Glitch Paw cat with a neon grin,ready for any digital challenge.,Background,Dark Purple,Body,Neon Green Cat,Eyes,VR Goggles,Goggle Lens,Glitchy Pink & Green,Mouth,Wide Smile Teeth,Collar,Tech Collar,Collar Lights,Green,Headwear,Purple Beanie,
Glitch Paw #7: Blue Beanie,A blue Glitch Paw dog wearing a beanie,ready for upcoming digital adventures.,Background,Blue Grunge,Body,Blue Dog,Eyes,VR Goggles,Goggle Lens,Glitchy Blue & Purple,Mouth,Wide Smile Teeth,Collar,Tech Collar,Collar Lights,Red,,,
Glitch Paw #8: Emerald Glare,An emerald Glitch Paw cat with a sharp gaze,uncovering the secrets of the metaverse.,Background,Dark Purple,Body,Emerald Cat,Eyes,VR Goggles,Goggle Lens,Glitchy Pink & Orange,Mouth,Wide Smile Teeth,Collar,Tech Collar,Collar Lights,Red,,,Gold Earring
Glitch Paw #9: Minty Fresh,A black Glitch Paw cat with a refreshing green beanie,ready to dominate the digital scene.,Background,Dark Purple,Body,Black Cat,Eyes,VR Goggles,Goggle Lens,Glitchy Pink & Green,Mouth,Wide Smile Teeth,Collar,Tech Collar,Collar Lights,Red,Headwear,Mint Beanie,
Glitch Paw #10: Pink Glitch,A vibrant hot pink Glitch Paw cat,glowing brightly in the glitchy digital world.,Background,Dark Purple,Body,Hot Pink Cat,Eyes,VR Goggles,Goggle Lens,Glitchy Green & Pink,Mouth,Wide Smile Teeth,Collar,Tech Collar,Collar Lights,Green,,,Silver Earring
Glitch Paw #11: Tech Beanie,A sleek black Glitch Paw in a stylish beanie,ready for virtual adventures.,Background,Dark Purple,Body,Black Cat,Eyes,VR Goggles,Goggle Lens,Glitchy Pink & Green,Mouth,Wide Smile Teeth,Collar,Orange Jacket,Collar Lights,None,Headwear,Mint Beanie,
